Judul,Penulis,Pembimbing 1,Pembimbing 2,abstrak,Kata Kunci,Label
IMPLEMENTASI  METODE N-GRAM PADA PEMBUATAN GAME FIGHTING MADURA BERBASIS ANDROID OS MOBILE,Farizal Arifin,"Arik Kurniawati S.Kom., M.T","Cucun Very Angkoso, S.T., M.T",Teknologi mobile  game  berkembang  dengan  sangat  pesat. mobile  game memiliki  banyak  peminat  dari berbagai kalangan karena keragaman variasinya. Hal inilah yang menjadi dasar bagi para pengembang untuk terus  mengembangkan mobile  game. Pada  penelitian  ini  dibuat sebuah Game  Fighting dengan  platform Android. Game  Fighting adalah  salah  satu  genre  video  game  dimana  seorang  player  mengontrol  seorang karakter di layar permainan dan  melakukan pertarungan jarak dekat (close combat) dengan  seorang lawan. Game  fighting  dibuat  dengan  mengimplementasikan  Metode  N-gram.  Metode  N-gram  diterapkan  pada pembuatan  pergerakan  NPC  (Non  Playable  Character)  dalam  bertarung. NPC  dapat  memprediksi  gerakan lawan  selanjutnya  dengan  menggunakan  metode  N-gram.  Dari  30  gerakan  pertama  player  NPC  dapat memprediksi 9 gerakan dengan tepat. Prediksi akan menjadi semakin akurat dengan semakin banyaknya key yang tercipta. 6 dari 9 prediksi gerakan yang tepat terjadi antara pada gerakan ke-20 sampai gerakan ke-30. Metode ini akan cenderung membuat NPC bertahan jika player bergerak agresif menyerang. Hasil pengujian Game  Fighting  dapat  berjalan  dengan  baik  pada  emulator  dan  smartphone  android  yang  memiliki  resolusi screen 320 x 480 pixels. Aplikasi game ini masih dapat berjalan lancar pada tipe smartphone Android yang memiliki  resolusi  screen  lebih  besar  atau  lebih  kecil  dari 320  x  480  pixels  akan  tetapi  tampilannya  tidak sempurna. ,-,CAI
SISTEM INFORMASI PENDATAAN PERKARA PADA KEJAKSAAN NEGERI SUMENEP BERBASIS WEB,Farida Meta Joule Setyawati,"Meidya Koeshardianto, S.Si., M.T.",-,"Kejaksaan Negeri Sumenep merupakan salah satu lembaga Pemerintahan yang bekerja dalam bidang hukum. Sebagai sebuah lembaga pemerintahan di tingkat kabupaten yang menangani kasus kriminal, Kejaksaan Negeri Sumenep membutuhkan sebuah pendataan untuk tiap berkas perkara yang terjadi. Dalam proses penanganan kasus tentunya terdapat surat perintah yang digunakan untuk meneruskan pendistribusian kasus tersebut kepada pihak yang telah ditunjuk oleh Kepala Kejaksaan Negeri Sumenep. Pada penelitian ini diangkat sebuah masalah dimana terdapat sebuah sistem yang mampu mendata tiap berkas perkara yang dikemas dalam bentuk halaman web menggunakan bahasa pemrograman PHP dan MySQL yang mampu memberikan pendistribusian kasus secara otomatis menggunakan query. Untuk Data yang akan ditampilkan disini, diproses melalui sebuah surat perintah Kepala Kejaksaan Negeri Sumenep untuk menunjuk jaksa yang akan menangani tiap kasus yang terjadi. Adapun verifikasi berkas perkara akan ditampilkan dalam bentuk laporan.","Pendataan Perkara, Database, PHP",CAI
Visualisasi Proses Terjadinya Hujan Berbasis Second Life,Anggit Pratama,"Arik Kurniawati,S.Kom, M.Kom.","Dr.Indah Agustien Siradjuddin, S.Kom, M.Kom.",Perkembangan teknologi masa kini telah memungkinkan manusia untuk merasakan suatu pengalaman yang nyata tanpa perlu adanya dunia luar atau materi. Teknologi ini sering disebut teknologi virtual reality. Teknologi virtual reality dapat diterapkan di berbagai bidang salah satunya adalah didalam dunia pembelajaran. Didalam penelitian ini akan membuat suatu pembelajaran mengenai proses terjadinya hujan yang dikemas didalam simulasi virtual reality. Tujuan utama dari pengembangan virtual reality adalah untuk menirukan alam nyata ke dalam dunia maya semakin membuat kedekatan imitasi animasi realitas ke dalam dunia maya. Kehadiran teknologi virtual reality ini dimanfaatkan semaksimal mungkin dalam kehidupan sehari-hari. Didalam Penelitian ini ditetapkan perilaku yang menjadi objek adalah kegiatan proses terjadinya hujan. Kegunaan Second Life sebagai platform untuk menghidupkan konsep dalam pembelajaran proses terjadinya hujan menjadi 3 dimensi karena Second Life sangat memadai untuk memvisualisasikan sebuah bentuk 3D dan Second Life merupakan Platform yang sangat mendukung untuk membuat suatu pembelajaran. Hasil uji coba visualisasi terhadap responden mendapatkan suatu pembelajaran visualisasi proses hujan dengan cara yang berbeda dan menarik dan mudah dimengerti. ,"Virtual Reality (VR), Multimedia Proses Hujan, Second Life",CAI
Analisis Pengendalian dan Perbaikan Kualitas dengan Pendekatan Metode Six Sigma Dan 5w+1h Sebagai Upaya Peningkatan Kualitas Produk,Iman Nuvi Alfian Budi Utomo,"Sugeng Purwoko,ST.,MT","Fitri Agustina,ST.,MT","Permasalahan kualitas bukan hanya sesuatu yang harus dipenuhi oleh suatu perusahaan, tapi telah menjadi suatu strategi untuk bersaing dalam menarik konsumen.  PT. Tirta Mahakam  Resources  tbk Gresik mempunyai pasar utama di luar negeri  (ekspor)  sebanyak (90%), sedangkan sisanya 10% adalah pasar dalam negeri.  Tentunya kualitas menjadi prioritas dalam proses produksinya. Tujuan dari penelitian ini adalah upaya peningkatan kualitas dengan pendekatan metode  Six Sigma,  Fault Tree Analysis  dan 5W+1H.  Six Sigma digunakan untuk mencari kapabilitas sigma pada proses produksi, Fault Tree Analysis digunakan untuk mencari akar penyebab masalah, sedangkan 5W+1H digunakan untuk memberikan usulan perbaikan pada proses produksi untuk peningkatan kualitas produk. Hasil dari penelitian ini diperoleh cacat yang terjadi adalah cacat permukaan kurang halus, cacat perubahan corak, cacat lebar veener, cacat terdapat pin hole, cacat terdapat mata kayu. Level sigma yang didapatkan nilai rata-rata DPMO dari empat periode sebesar 6.845 dengan level sigma 2.71. Target kinerja sigma adalah 2.73 dengan prosentase peningkatan sebesar 0.738%. untuk usulan perbaikannya adalah membuat display jadwal pemeriksaan dan penggantian pisau potong. Membuat ukuran setingan log yang pas. membuat ukuran setingan mesin yang pas. Memilih log yang akan direbus sehingga ketika log dipotong tidak keras. Memberikan  headset  pada operator mesin. Memberikan masker pada operator mesin. memberikan fentilasi udara yang cukup","Six Sigma, Fault Tree Analysis, 5W+1H",CAI
PENERAPAN METODE RADIAL BASIS FUNCTION NETWORK DENGAN K-MEANS CLUSTER UNTUK PERAMALAN KEBUTUHAN STRAW,Dwi Nuzulul Heriyanto,"Fika Hastarita Rachman, S.T, M.Eng","Budi Dwi Satoto, ST, M.Kom","Berawal dari permintaan akan Straw (sperma beku) sapi yang tinggi untuk menghasilkan bibit unggul. Bidang Peternakan Dinas Kelautan, Perikanan dan Peternakan (DKPP) Sampang masih belum dapat menentukan berapa banyaknya Straw yang dibutuhkan pada saat permintaan itu datang. Sering terjadi stok Straw yang tersedia kurang memenuhi permintaan para peternak sapi, atau malah sebaliknya persediaan Straw yang ada masih banyak. Data yang digunakan adalah data penggunaan Straw di Kabupaten Sampang bulan Januari 2008 sampai Desember 2011. Peramalan kebutuhan Straw merupakan proses untuk memperkirakan jumlah kebutuhan Straw di masa datang. Metode peramalan yang digunakan dalam sistem ini adalah metode Radial Basis Function Network (RBFN) dengan penentuan hidden node menggunakan K-Means Cluster. Metode K-Means digunakan karena ketepatan penentuan nilai centroid yang akurat, mudah dan penentuannya awalnya secara random. Sedangkan dalam penentuan nilai error menggunakan MAPE (Mean Absolute Percentage Error) dan MSE (Mean Square Error). Dalam uji coba sistem diketahui bahwa sistem mampu memprediksi kebutuhan Straw satu bulan kedepan. Dari evaluasi kinerja sistem diketahui bahwa nilai MAPE dan MSE terkecil diperoleh pada jumlah cluster=3 yang mempunyai Nilai MAPE 10.12%  dan MSE 0.0081.""",-,RPL
aplikasi media pembelajaran kamera DSLR (Digital Single Lens Reflex) berbasis multimedia,mochamad ali muwaffa,"Aeri Rachmad,S.T.,M.E.Eng.",-,"Perkembangan teknologi komputer yang semakin pesat menuntut pula penggunaannya dalam berbagai hal. Salah satunya adalah dalam bidang komunikasi visual, komputer banyak sekali berperan penting di dalamnya. Berbagai aplikasi komunikasi visual yang mendukung untuk tersampaikannya kepada manusia sudah semakin berkembang. Mulai dari software untuk mengoperasikan kamera bahkan hingga sarana untuk mempelajari kamera pun telah tersedia. Salah satu faktor yang menuntut saya mengambil judul ini adalah karena tidak begitu banyak media pembelajaran yang lebih dalam mencakup masalah shutter speed (kecepatan), ISO, serta aperture (diafragma) dalam kamera DSLR (Digital Single Lens Reflex).pada dasarnya pengenalan menu yang terdapat di beberapa media pembelajaran kamera hanya mengenalkan menu – menu pokok yang terdapat dalam kamera tersebut tanpa menjelaskan 3 poin pokok paling mendasar pada semua kamera yang wajib dipahami (shutter speed, ISO ,aperture). dapat mempengaruhi keberhasilan proses pembelajaran adalah dengan menggunakan media yang tepat. Materi pembelajaran disajikan berdasarkan topik yang dilengkapi dengan berbagai fitur multimedia yang dibangun dalam sebuah aplikasi yang dapat memberikan pembelajaran dasar mengenai cara menggunakan kamera, dari langkah pengoperasian manual pada kamera sehingga user yang masih pemula dapat mempelajari cara menggunakan kamera DSLR melalui komputer di rumah sebagai alternatif lain belajar kamera selain masuk ke sekolah fotografi.","Kamera, Media pembelajaran, Multimedia",RPL
ANALISIS PERAMALAN PENJUALAN PRODUK ASESORIS KOMPUTER MENGGUNAKAN METODE EXPONENTIAL SMOOTHING (ES) DAN ORDINARY LEAST SQUARE (OLS),Moh. Hasbi Ash Shiddieqy,"Mula’ab, S.Si., M.Kom.","Yeni Kustiyahningsih, S.Kom., M.Kom.","Dengan prediksi yang baik, dapat dibuat rencana kerja perusahaan lebih efektif dan efisien. Semakin banyak orang menggunakan Komputer  maka jumlah permintaan konsumen pada Asesoris komputer secara otomatis penjualannya juga akan meningkat. Oleh karena itu dibutuhkan sistem yang dapat memprediksi jumlah penjualan tiap minggunya agar perusahaan mendapatkan keuntungan yang maksimal. Untuk meramalkan pejualan Asesoris komputer Digunakanlah metode peramalan Single Exponential Smoothing (SES) dan metode Oldinary Least Square (OLS). Hasil peramalan tersebut akan dihitung  dan dibandingkan menggunakan Mean Square Error (MSE) untuk mendapatkan hasil error yang terkecil dan peramalan terbaik. Dari beberapa hasil tes perhitungan peramalan yang telah dilakukan dapat diambil kesimpulan bahwa proses peramalan penjualan asesoris komputer menggunakan metode Single Exponential Smoothing (SES) dan Oldinary Least Square (OLS) cukup baik diterapkan untuk studi kasus di SKY DISK Surabaya. Dengan mendapatkan rata-rata MSE sebesar 5257.5 dan rata-rata MAPE sebesar 0.9463%.",-,RPL
SISTEM INFORMASI GEOGRAFIS PEMETAAN WILAYAH BERDASARKAN TINGKAT KESEJAHTERAAN DI KABUPATEN BANGKALAN MENGGUNAKAN METODE FUZZY MAMDANI,Hendriatno,"Bain Khusnul Khotimah.,S.T.,M.Kom","Firli Irhamni, S.T., M.Kom.","Menurut pemetaan yang dilakukan oleh Tim Nasional Percepatan Penanggulangan Kemiskinan (TNP2K) pada tahun 2011, kabupaten-kabupaten di pulau Madura memiliki masalah kemiskinan dan merupakan wilayah dengan prioritas 1 dan 2 dalam penanganan kerentanan pangan. Oleh karena itu penulis membuat sistem informasi geografis pemetaan wilayah berdasarkan tingkat kesejahteraan menggunakan metode Fuzzy Mamdani. Metode ini mengatasi keterlibatan objek yang memiliki ketidakpastian di dalam Sistem informasi geografis. Tahapan proses perhitungannya adalah: pembentukan himpunan fuzzy, aturan fungsi implikasi, komposisi aturan dan defuzzyfikasi (nilai z), yang kemudian akan diimplementasikan kedalam pemetaan, sehingga informasi dapat diperolah dengan cepat dan efisien. Dari uji coba yang dilakukan sistem Kec. Tragah dan Kec. Galis, tingkat kesejahteraannya kurang (pemetaan berwarna merah), dengan nilai “Kesejahteraan (Z)” (Z = 0,0). Sedangkan untuk Kec. Kamal (Z = 62,2), Kec. Tanah Merah (Z = 57,1), Kec. Modung (Z = 61,50), Kec. Arosbaya (Z = 61,4), Kec. Sepuluh (Z = 56,7), Kec. Klampis (Z = 65,00), Kec. Konang (Z = 63,7), Kec. Geger (Z = 55,7), Kec. Labang (Z = 56,6), Kec. Blega (Z = 55,9), Kec. Kwanyar (Z = 60,4), Kec. Burneh (Z = 56,10), Kec. Socah (Z = 60,8), Kec. Tanjung Bumi (Z = 57,7)dan Kec. Kokop (Z = 57,4) tingkat kesejahteraannya sedang (pemetaan berwarna kuning), Kec. Bangkalan (Z = 68,5) tingkat kesejahteraanya tinggi (pemetaan berwarna hijau).","Sistem Informasi Geografis, Fuzzy Mamdani, Tingkat Kesejahteraan",RPL
PERANCANGAN SISTEM INFORMASI PERENCANAAN PRODUKSI DAN PERSEDIAAN BAHAN BAKU TINTA MENGGUNAKAN METODE EOQ (ECONOMIC ORDER QUANTITY) (Studi Kasus Di PT Inktech Indahmulya),M. Arif Rahman,"Yeni Kustiyahningsih, S.Kom., M.Kom.","Heri Awalul Ilhamsyah, ST., MT.","Penelitian ini membahas tentang perancangan sistem informasi perencanaan produksi dan persediaan bahan baku tinta menggunakan metode EOQ (Economic Order Quantity) di PT. Inktech Indahmulya. Selama ini dalam menjalankan rencana produksi yang ada masih menggunakan perencanaan produksi secara sederhana dan didasarkan pengalaman produksi periode-periode sebelumnya, sehingga perusahaan belum mengetahui apakah rencana produksi yang diterapkan sudah optimal. Untuk dapat menentukan jumlah persediaan barang secara tepat, diperlukan pengetahuan untuk mengetahui berapa jumlah barang yang dibutuhkan tiap periode dengan melakukan peramalan. Metode peramalan yang digunakan adalah metode single exponential smoothing dan metode single moving average, metode ini digunakan untuk melakukan peramalan kebutuhan bahan baku pada periode selanjutnya. Hasil penelitian ini mengkonfirmasikan  untuk menentukan jumlah tinta PMG yang harus diproduksi konsisten menggunakan metode peramalan single exponential smoothing dengan nilai MSE berada pada 0,1. Nilai tersebut digunakan untuk menentukan jumlah material produksi yang dibutuhkan dengan menggunakan metode Economic Order Quantity (EOQ). Dari hasil uji coba sistem ini didapatkan hasil biaya persediaan terendah dan jumlah kebutuhan bahan baku yang  diperlukan untuk periode selanjutnya.",-,RPL
PENERAPAN GAME PENALARAN (KUIS PAK-RAMPAAK) MENGGUNAKAN METODE DEDUKTIF DAN INDUKTIF,RAMADITA MAHARENDI ANASHAR,"MEIDYA KOESHARDIANTO, S.Si, M.T",-,"Pada zaman modern seperti saat ini manfaat dan kegunaan teknologi komputer sangatlah penting. Perkembangan teknologi komputer berjalan demikian pesatnya, dari yang memiliki fungsi awal sebagai alat bantu persoalan dan masalah dalam segala bidang, kemudian memasuki fungsi hiburan. Matematika nalar sekilas bagi kebanyakan orang dianggap suatu pelajaran atau mata kuliah yang sangat sulit. Banyak yang beranggapan sulit karena matematika nalar membutuhkan logika dan berhitung yang terkadang rumit, memusingkan  dan tidak menarik, merupakan kendala yang harus dibuat solusinya. Pada penelitian ini kami akan merancang suatu game penalaran  menggunakan metode deduktif dan induktif yang dapat membuat matematika nalar itu lebih menyenangkan dan mengembangkan logika seseorang. Dengan adanya sistem ini diharapkan dapat memberikan manfaat lebih untuk dunia pendidikan.","Game, Penalaran, Matematika",RPL
Identifikasi Preferensi Konsumen Dalam Minat Beli Rumah Dengan Pendekatan Metode Decision Tree (Studi Kasus : Perumahan Permata Indah Bangkalan),Bertha Primaria Bainana,"Ari Basuki, ST., MT.","Dr. Rachmad Hidayat, ST., MT.","Salah satu dampak dari pembangunan jembatan Suramadu adalah meningkatnya jumlah urbanisasi ke wilayah kabupaten Bangkalan, sehingga juga mengakibatkan peningkatan kebutuhan terhadap produk rumah. Untuk bisa memenuhi kebutuhan konsumen tersebut, perlu dilakukan suatu kajian tentang keinginan konsumen terhadap bentuk dan kondisi perumahan yang diminati oleh konsumen. Penelitian ini dilakukan untuk mengetahui berbagai pola keinginan minat beli konsumen terhadap perumahan tipe 45 dengan melibatkan 7 atribut yang dijadikan pertimbangan yaitu kedekatan lokasi dengan fasilitas disekitar perumahan, ketersediaan bentuk pagar perumahan, fasilitas keamanan, bentuk pembayaran rumah, ketersediaan fasilitas air, bentuk jalan perumahan, model rumah. Proses identifikasi keinginan konsumen dilakukan dengan menggunakan metode decision tree, dan menghasilkan 8 macam pola keinginan konsumen. Selanjutnya pengembang rumah akan menentukan prioritas pola keinginan konsumen yang akan diwujudkan lebih dahulu dengan menggunakan metode AHP. Hasilnya, yaitu perumahan tipe 45 yang lokasinya dekat dengan jalan raya dan pasar tradisional.","Minat beli konsumen, decision tree, AHP",RPL
KLASIFIKASI STATUS GIZI BALITA MENGGUNAKAN KOHONEN SELF ORGANIZING MAP,Uhty Zunairoh,"Bain Khusnul Khotimah, S.T., M.Kom.","Aeri Rachmad, S.T., M.T.","Aplikasi klasifikasi status gizi balita ini dibuat untuk mempermudah dilakukannya kontrol terhadap perkembangan status gizi balita terutama di tempat penelitian ini dilakukan yaitu Kecamatan Arosbaya, tepatnya di Puskesmas Arosbaya. Aplikasi ini juga dapat digunakan sebagai media informasi karena dapat diisi dengan informasi yang berkaitan dengan Puskesmas Arosbaya sendiri. Untuk menentukan status gizi balita di aplikasi ini, digunakan metode Kohonen Self Organizing Map, dengan mengambil data dari Puskesmas Arosbaya. Parameter yang digunakan ada empat, yaitu: usia, jenis kelamin, tinggi badan, dan berat badan. Karena metode K-SOM hanya dapat digunakan untuk menentukan cluster maka dibuatlah sebuah rule untuk menentukan klasifikasi data pada kelas tertentu.Umumnya untuk mengetahui status gizi balita hanya menggunakan tiga parameter, namun pada penelitian ini akan menggunakan empat parameter. Hasil klasifikasi akan dibagi menjadi 3 kelas, yaitu: kelas 1 (status gizi kurang), kelas 2 (status gizi normal), dan kelas 3 (status gizi normal). Hasil penelitian menunjukkan bahwa sebanyak 88,17% (82 balita) balita berstatus gizi kurang, 8,6% (delapan balita) balita berstatus gizi normal, dan 3,23% (tiga balita) balita berstatus gizi lebih dengan nilai learning rate dan MSE akhir masing-masing 0,09436 dan 0,000792353. Sedangkan nilai akurasi, sencitivity, dan specificity masing adalah 100%.","Kohonen Self Organizing Map, status gizi balita, Puskesmas Arosbaya",RPL
ANALISA PRODUKTIVITAS DAN KINERJA LINGKUNGAN PADA PROSES PRODUKSI PUPUK UREA DENGAN PENDEKATAN GREEN PRODUCTIVITY (Studi Kasus: PT. Petrokimia Gresik),Vita Ariesta Ramandhani,"Ari Basuki, ST., MT.","Nachnul Anshori, ST., MT.","Pupuk urea adalah salah satu jenis produk yang dihasilkan PT. Petrokimia Gresik. Dalam menjalankan proses produksi, selain menghasilkan produk utama, perusahaan tersebut juga menghasilkan limbah  cair. Limbah tersebutberpotensi mempengaruhi kinerja lingkungannya. Tujuan dilakukannya penelitian ini yaitu untuk menganalisa produktivitas dan kinerja lingkungan dari proses produksi pupuk urea di PT. Petrokima Gresik dengan pendekatan Green Productivity. Langkah yang dilakukan pertama kali adalah mengidentifikasi sumber penyebab limbah, menetukan tujuan dan target, dan memilih alternatif solusi Green Productivity. Dengan menggunakan analisa deret seragam, alternatif yang dipilih dalam penelitian ini adalah melakukan pengisolasian pipa yang bocor pada mesin EA 101 dan mesin DC 101. Meskipun biaya yang dikeluarkan cukup mahal untuk perbaikan pipa tapi perbaikan mengurangi kadar limbah COD hingga 2 persen dan meningkatkan nilai EPI (Environmental Performance Indicator) dengan kondisi awal 1,7 menjadi 2,1. Selain itu alternative ini juga mampu meningkatkan indeks produktivitas perusahaan dengan kondisi awal indeks sebesar 11,97% menjadi 12,07%.","Kinerja Lingkungan,Green Productivity, Indeks EPI, Produktivitas",CAI
SISTEM INFORMASI PEMASARAN PRODUK UNGGUL BERBASIS WEB DI KABUPATEN SUMENEP,Faizal Rahman,"Budi Dwi Satoto, S.T., M.Kom.",-,"Internet menjadi kebutuhan setiap manusia untuk berbagi dan mencari informasi. Internet juga menjadi saran yang tepat untuk berkembang suatu bidang. Kata e- adalah (Electronik) yang artinya adalah segala sesuatu yang dilaksanakan secara elektronik lewat Internet. Aplikasi dalam internet salah satunya e-commerce. E-commerce merupakan salah satu cara belanja online yang memanfaatkan internet yang merubah sistem marketing menjadi lebih mudah. Pada umunya transaksi jual beli masih dilakukan secara tradisional dimana penjual dan pembeli bertemu secara langsung untuk melakukan transaksi jual beli. Dengan adanya belanja online dapat memperluas pemasaran produk - produk unggulan di Kabupaten Sumenep melalui media internet yang disebut e-market. Untuk menfasilitasi dan membantu para pelaku UKM memasarkan produknya secara  online yaitu virtual e-market place dengan konsep B2C (Business to Consumer). Hasil dari sistem ini adalah dapat mempermudah para pelaku UKM untuk memasarkan produknya, mengolah data produk, dan mengorder pesanan secara langsung yang telah diorder oleh admin. Selain itu, mempermudah pembeli untuk mencari produk, melihat deskripsi produk dan profil UKM, membeli produk dan dipermudah dalam sistem pembayaran. Semua transaksi dapat mudah digunakan dengan memanfaatkan media internet.","e-commerce, Sumenep, UKM",RPL
SISTEM PENDUKUNG KEPUTUSAN PENERIMAAN DANA BANTUAN SISWA MISKIN MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW) (Study Kasus SDN Kesek 2 Kecamatan Labang Bangkalan),Sistri Dyah Pratiwi,"Fitri Damayanti, S.Kom, M.Kom",-,"Sesuai dengan peraturan yang sudah ditentukan oleh pihak UPT Dinas Pendidikan Kecamatan Labang untuk memperoleh dana Bantuan Siswa Miskin (Beasiswa), maka diperlukan kriteria-kriteria untuk menentukan siapa yang akan terpilih untuk menerima beasiswa. Pembagian beasiswa dilakukan oleh pihak sekolah untuk membantu seseorang yang kurang mampu ataupun berprestasi selama menempuh studinya. Untuk membantu penentuan dalam menetapkan seseorang yang layak menerima beasiswa maka dibutuhkan sebuah sistem pendukung keputusan. Pada penelitian ini metode yang digunakan adalah metode Simple Additive Weighting. Metode ini dipilih karena mampu menyeleksi alternatif terbaik dari sejumlah alternatif, dalam hal ini alternatif yang dimaksud yaitu siswa yang berhak menerima beasiswa berdasarkan kriteria-kriteria yang ditentukan. Penelitian dilakukan dengan mencari nilai bobot untuk setiap atribut yang kemudian dilakukan proses perankingan yang akan menentukan alternatif yang optimal. Dari hasil uji coba yang telah dilakukan, tingkat kecocokan hasil perangkingan metode SAW yaitu 95,6%. Sehingga sisten ini dapat dijadikan bahan pertimbangan dalam penerimaan dana bantuan siswa miskin.","beasiswa, SAW, kriteria, alternatif",CAI
SISTEM INFORMASI ADMINISTRASI KEPENDUDUKAN (Study Kasus : Kecamatan Larangan),Erna Sulistiawati,"M. Ali Syakur, S.Si, M.T",-,"Pada zaman modern seperti saat ini manfaat dan kegunaan teknologi informasi sangatlah penting, karena dengan pemanfaatan teknologi informasi kita dapat menghasilkan  pengetahuan diberbagai aspek baik dari aspek waktu dan tempat. Pengelolaan informasi yang ditunjukkan oleh kecepatan dan ketepatan waktu pemrosesan,  serta ketelitian dan kebenaran informasi (validitas) yang dihasilkan yang sangatlah berpengaruh pada kelancaran dan kemudahan dalam pelaksanaan sistem. Pada penelitian ini penulis membuat suatu sistem administrasi kependudukan yang dapat mengoptimalkan dan memberikan data-data penduduk secara detail seperti data kartu tanda penduduk, data kartu keluarga, data kelahiran, data kematian, data pindah. Dan juga lebih menstrukturkan data yang telah ada agar dapat dikelolah dengan baik. Penelitian ini dilakukan dengan cara mencari data penduduk, data kartu tanda penduduk, data kartu keluarga, data kelahiran, data kematian, dan data pindah. Kemudian diimplementasikan dalam bentuk laporan berupa hardcopy dari data penduduk, data kartu tanda penduduk, data kartu keluarga, data kelahiran, data kematian,dan data pindah penduduk.","Administrasi, Kependudukan, Pelayanan, Kecamatan",RPL
SISTEM INFOMASI PENJUALAN BARANG BEKAS BERBASIS WEB,Ach Naief Nafiri,"Fitri Damayanti, S.Kom, M.Kom.",-,"Kemajuan teknologi yang demikian pesat serta potensi pemanfaatannya secara luas, membuka peluang bagi pengaksesan, mengelola, dan pendayagunaan informasi dalam volume yang besar secara cepat dan akurat. Kenyataan telah menunjukkan bahwa penggunaan media elektronik merupakan faktor yang sangat penting dalam berbagai transaksi nasional dan internasional yaitu salah satunya adalah internet. Internet memiliki cakupan yang sangat luas. Dimana internet terhubung secara online tanpa mengenal batas waktu dan tempat. Salah satu contohnya adalah pemasaran online, pemasaran online merupakan tempat penjualan dimana semua transaksi dilakukan melalui media internet.Hasil dari penelitian tentang penjualan barang bekas dimana sebelumnya masih banyak mengunakan cara penjualan biasa atau dengan cara tradisional. Oleh karena itu dibuat sistem yang dapat melakuan penjualan online. Sistem ini menggunakan PHP dan SQL. Dimana data barang diinputkan ke database yang nantinya akan di tampilkan secara online. Sehingga mempermudah mencari produk barang bekas dan melakukan transaksi jual beli tanpa ke tempat pembelian. Sistem ini dibuat sedemikian rupa sehingga dapat menarik pembeli untuk memperoleh informasi barang dengan cepat dan akurat.Objek utama dari sistem ini adalah untuk memberikan kemudahan kepada pengguna dalam pengolahan data penjualan maupun data pembeli secara online dengan lebih efisien dan efektif.","sistem informasi, php mysql, Penjualan online",RPL
SISTEM INFORMASI PERIJINAN TERPADU KABUPATEN BANGKALAN,FARIDATUL HASANAH,"HARYANTO,S.T,M.T",-,"Pesatnya perkembangan teknologi informasi dalam dekade terakhir ini sangat berpengaruh terhadap berbagai aspek kehidupan di dunia pada umumnya dan Indonesia pada khususnya. proses pelayanan perijinan di Kantor Pelayanan Perijinan Terpadu Kabupaten Bangkalan masih dilakukan secara manual, Oleh karena itu Tugas Akhir ini mengembangkan Sistem Informasi yang akan menggantikan proses pelayanan perijinan di Kantor Pelayanan Perijinan Terpadu Kab. Bangkalan . Dengan menggunakan Sistem Informasi Perijinan Terpadu dapat memperudah dalam pengelolaan data-data seperti data-data SIUP, TDP, IMB dan SITU . Sistem ini menggunakan tehnologi PHP , MySQL dan Xampp sehingga aplikasi ini dapat melakukan proses perijinan secara cepat dan mudah. Adapun output yang dihasilkan dalam sistem ini berupa laporan dan SK yang diterbitkan oleh KP2T.","SIUP, TDP, IMB, SITU , Sistem Informasi",RPL
Segmentasi Parasit Malaria Dalam Sel Darah Menggunakan Operasi Morfologi Dan Transformasi Watershed,Yenni Rahmawati,"Rima Tri Wahyuningrum, S.T.,M.T.","Fitri Damayanti, S.Kom., M.Kom","Malaria disebabkan oleh intraseluler parasit bersel tunggal yang dimiliki genus Plasmodium yang menginfeksi manusia dengan memasuki aliran darah. Dampak malaria secara geografis memiliki tingkat  transmisi tertinggi di daerah tropis dan subtropics, yaitu di negara-negara yang memiliki tingkat pertumbuhan penduduk yang besar (termasuk Indonesia). Pendeteksian parasit malaria dapat dilakukan mencari titik kromatin. Bila tidak ada titik kromatin pada sel darah merah  maka sel darah merah tersebut di anggap sebagai sel darah merah sehat. Pendeteksian titik kromatin secara manual akan memerlukan waktu yang lama. Proses segmentasi diharapkan sebagai langkah pertama untuk memudahkan pendeteksian titik kromatin karena segmentasi merupakan  salah  satu  faktor yang sangat penting dalam analisis suatu gambar. Penelitian ini melakukan segmentasi sel darah merah dengan menggunakan operasi Morfologi, deteksi tepi Canny, dan transformasi Watershed. Data yang digunakan sebanyak 15 data citra dan setiap citra akan diuji dengan empat macam operasi Morfologi kemudian citra hasil Morfologi akan diuji sebanyak 16 kali percobaan dengan parameter masking, sigma, high threshold (HT), dan low threshold (LT) dari deteksi tepi Canny. Hasil pengujian kemudian disegmentasi dengan menggunakan transformasi Watershed. Perhitungan tingkat akurasi dilakukan dengan membandingkan koordinat tiap piksel citra hasil segmentasi dengan citra ground truth  dan menghasilkan nilai rata-rata akurasi sebesar 39.3 %.""",-,CAI
